project_name,project_owner,project_creation_date,project_id,project_last_modif_date,project_xmi,project_type,project_downloaded,diagram_project_id,diagram_id,diagram_name,diagram_kind,diagram_jpeg_link,diagram_number_of_elements
laboratorio1ProgramacionConPatrones,,1656444186236,_vJ0LwPcXEeydvaHhUPK6Jg,1656548644865,https://app.genmymodel.com/api/projects/_vJ0LwPcXEeydvaHhUPK6Jg/xmi,UML,Yes,_vJ0LwPcXEeydvaHhUPK6Jg,_vJ0Lw_cXEeydvaHhUPK6Jg,Metodo Fabrica abstracta,ClassDiagram,https://app.genmymodel.com/api/projects/_vJ0LwPcXEeydvaHhUPK6Jg/diagrams/_vJ0Lw_cXEeydvaHhUPK6Jg/jpeg,120
laboratorio1ProgramacionConPatrones,,1656444186236,_vJ0LwPcXEeydvaHhUPK6Jg,1656548644865,https://app.genmymodel.com/api/projects/_vJ0LwPcXEeydvaHhUPK6Jg/xmi,UML,Yes,_vJ0LwPcXEeydvaHhUPK6Jg,_vl4ekdlIEDq6nJtIweRB9A,Metodo Fabrica,ClassDiagram,https://app.genmymodel.com/api/projects/_vJ0LwPcXEeydvaHhUPK6Jg/diagrams/_vl4ekdlIEDq6nJtIweRB9A/jpeg,96
laboratorio1ProgramacionConPatrones,,1656444186236,_vJ0LwPcXEeydvaHhUPK6Jg,1656548644865,https://app.genmymodel.com/api/projects/_vJ0LwPcXEeydvaHhUPK6Jg/xmi,UML,Yes,_vJ0LwPcXEeydvaHhUPK6Jg,_2zK5wdlKEDq6nJtIweRB9A,Patron Prototipo,ClassDiagram,https://app.genmymodel.com/api/projects/_vJ0LwPcXEeydvaHhUPK6Jg/diagrams/_2zK5wdlKEDq6nJtIweRB9A/jpeg,51
modeladoDiagrama,,1656477478748,_QH85wPdlEeydvaHhUPK6Jg,1656545366640,https://app.genmymodel.com/api/projects/_QH85wPdlEeydvaHhUPK6Jg/xmi,RDS,No,,,,,,
reto3,,1656434957757,_QALm0PcCEeydvaHhUPK6Jg,1656545229583,https://app.genmymodel.com/api/projects/_QALm0PcCEeydvaHhUPK6Jg/xmi,RDS,No,,,,,,
TareaHenry,,1656456891593,_UZirkPc1EeydvaHhUPK6Jg,1656544059837,https://app.genmymodel.com/api/projects/_UZirkPc1EeydvaHhUPK6Jg/xmi,UML,Yes,_UZirkPc1EeydvaHhUPK6Jg,_UZirk_c1EeydvaHhUPK6Jg,class-diagram,ClassDiagram,https://app.genmymodel.com/api/projects/_UZirkPc1EeydvaHhUPK6Jg/diagrams/_UZirk_c1EeydvaHhUPK6Jg/jpeg,70
class,,1656534742274,_lDfeIPfqEeydvaHhUPK6Jg,1656536283744,https://app.genmymodel.com/api/projects/_lDfeIPfqEeydvaHhUPK6Jg/xmi,UML,Yes,_lDfeIPfqEeydvaHhUPK6Jg,_lDfeI_fqEeydvaHhUPK6Jg,class-diagram,ClassDiagram,https://app.genmymodel.com/api/projects/_lDfeIPfqEeydvaHhUPK6Jg/diagrams/_lDfeI_fqEeydvaHhUPK6Jg/jpeg,54
Proyecto Final Bases de Datos,,1626113947742,_pbMX4OM9Eeu6V7qnWRg0WQ,1656534643975,https://app.genmymodel.com/api/projects/_pbMX4OM9Eeu6V7qnWRg0WQ/xmi,RDS,No,,,,,,
BoBo,,1656450169095,_qqzhcPclEeydvaHhUPK6Jg,1656529874626,https://app.genmymodel.com/api/projects/_qqzhcPclEeydvaHhUPK6Jg/xmi,RDS,No,,,,,,
CalidadSoftware,,1656521291459,_QuhhMPfLEeydvaHhUPK6Jg,1656524358178,https://app.genmymodel.com/api/projects/_QuhhMPfLEeydvaHhUPK6Jg/xmi,BPMN2,No,,,,,,
surgepay client,,1654162631830,_lDbjYOJXEeyT2eHQCkc07g,1656521608043,https://app.genmymodel.com/api/projects/_lDbjYOJXEeyT2eHQCkc07g/xmi,ARCHIMATE,No,,,,,,
franchise and referral with kick back model,,1655747116555,_vrTNsPDAEeyQqO6RHdQLaQ,1656518175742,https://app.genmymodel.com/api/projects/_vrTNsPDAEeyQqO6RHdQLaQ/xmi,FLOWCHART,Yes,_vrTNsPDAEeyQqO6RHdQLaQ,_vrTNsvDAEeyQqO6RHdQLaQ,flowchart-diagram,FlowchartDiagram,https://app.genmymodel.com/api/projects/_vrTNsPDAEeyQqO6RHdQLaQ/diagrams/_vrTNsvDAEeyQqO6RHdQLaQ/jpeg,221
elmos-elementary,,1656513872950,__SG9YPe5EeydvaHhUPK6Jg,1656518039187,https://app.genmymodel.com/api/projects/__SG9YPe5EeydvaHhUPK6Jg/xmi,RDS,No,,,,,,
KONECTA,,1652232406188,_bBO-wNDJEeyrwKsD8J5mAw,1656517879477,https://app.genmymodel.com/api/projects/_bBO-wNDJEeyrwKsD8J5mAw/xmi,RDS,No,,,,,,
ACTSCRex,,1653308132883,_CycGMNqSEeyR_KDGOPNL5w,1656516174259,https://app.genmymodel.com/api/projects/_CycGMNqSEeyR_KDGOPNL5w/xmi,UML,Yes,_CycGMNqSEeyR_KDGOPNL5w,_Cyg-sNqSEeyR_KDGOPNL5w,ACTSCRex,ClassDiagram,https://app.genmymodel.com/api/projects/_CycGMNqSEeyR_KDGOPNL5w/diagrams/_Cyg-sNqSEeyR_KDGOPNL5w/jpeg,54
ACTSCRex,,1653308132883,_CycGMNqSEeyR_KDGOPNL5w,1656516174259,https://app.genmymodel.com/api/projects/_CycGMNqSEeyR_KDGOPNL5w/xmi,UML,Yes,_CycGMNqSEeyR_KDGOPNL5w,_Cyg_HdqSEeyR_KDGOPNL5w,class-diagram,ClassDiagram,https://app.genmymodel.com/api/projects/_CycGMNqSEeyR_KDGOPNL5w/diagrams/_Cyg_HdqSEeyR_KDGOPNL5w/jpeg,0
